2022-03-13 18:03:625 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 20:03:628 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 20:03:482 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 20:03:430 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 20:03:750 INFO  HomePage :36 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (97c0b8d472a255c5307db4a99b612755)] -> xpath: //span[text()='Sign in']]
2022-03-13 20:03:350 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 20:03:451 INFO  HomePage :37 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (2da5f4a345cec5bd4f1a3b46601c3b0b)] -> partial link text: Hello, Sign in]
2022-03-13 21:03:623 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 21:03:812 INFO  HomePage :37 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (3727630240ed78f1e47a83e0a0648d87)] -> partial link text: Hello, Sign in]
2022-03-13 21:03:711 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 21:03:775 INFO  HomePage :37 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (bb154bed8fb13d1317767c6265d57284)] -> partial link text: Hello, Sign in]
2022-03-13 21:03:739 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 21:03:185 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 21:03:470 INFO  HomePage :37 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (fa9a9d273343532f43c30ed70a08a553)] -> partial link text: Hello, Sign in]
2022-03-13 21:03:364 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 21:03:275 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 21:03:728 INFO  HomePage :37 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (46d96511e3c782545e04d2608cda3c5c)] -> partial link text: Hello, Sign in]
2022-03-13 21:03:720 INFO  SignInPage :48 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (46d96511e3c782545e04d2608cda3c5c)] -> xpath: //input[@name='email']]
2022-03-13 21:03:738 INFO  SignInPage :41 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (46d96511e3c782545e04d2608cda3c5c)] -> id: continue]
2022-03-13 21:03:573 INFO  SignInPage :53 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (46d96511e3c782545e04d2608cda3c5c)] -> name: password]
2022-03-13 21:03:590 INFO  SignInPage :57 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (46d96511e3c782545e04d2608cda3c5c)] -> id: signInSubmit]
2022-03-13 21:03:850 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 21:03:625 INFO  HomePage :37 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (0138a7aaefd582f2154d4591a9f56263)] -> partial link text: Hello, Sign in]
2022-03-13 21:03:756 INFO  SignInPage :48 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (0138a7aaefd582f2154d4591a9f56263)] -> xpath: //input[@name='email']]
2022-03-13 21:03:775 INFO  SignInPage :41 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (0138a7aaefd582f2154d4591a9f56263)] -> id: continue]
2022-03-13 21:03:659 INFO  SignInPage :53 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (0138a7aaefd582f2154d4591a9f56263)] -> name: password]
2022-03-13 21:03:672 INFO  SignInPage :57 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (0138a7aaefd582f2154d4591a9f56263)] -> id: signInSubmit]
2022-03-13 22:03:157 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 22:03:286 INFO  HomePage :39 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (9c470385a509187a9e02def684e80d78)] -> partial link text: Hello, Sign in]
2022-03-13 22:03:280 INFO  SignInPage :52 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (9c470385a509187a9e02def684e80d78)] -> xpath: //input[@name='email']]
2022-03-13 22:03:296 INFO  SignInPage :45 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (9c470385a509187a9e02def684e80d78)] -> id: continue]
2022-03-13 22:03:133 INFO  SignInPage :57 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (9c470385a509187a9e02def684e80d78)] -> name: password]
2022-03-13 22:03:147 INFO  SignInPage :61 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (9c470385a509187a9e02def684e80d78)] -> id: signInSubmit]
2022-03-13 22:03:160 INFO  SignInPage :68 - Verifies add to cart text[[ChromeDriver: chrome on WINDOWS (9c470385a509187a9e02def684e80d78)] -> id: nav-link-accountList-nav-line-1]
2022-03-13 22:03:809 INFO  ManageDriver :30 - Launching Chrome Browser
2022-03-13 22:03:822 INFO  HomePage :39 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (14c389bd38b772e567bebc4fed054884)] -> partial link text: Hello, Sign in]
2022-03-13 22:03:872 INFO  SignInPage :52 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (14c389bd38b772e567bebc4fed054884)] -> xpath: //input[@name='email']]
2022-03-13 22:03:891 INFO  SignInPage :45 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (14c389bd38b772e567bebc4fed054884)] -> id: continue]
2022-03-13 22:03:787 INFO  SignInPage :57 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (14c389bd38b772e567bebc4fed054884)] -> name: password]
2022-03-13 22:03:800 INFO  SignInPage :61 - Click on the Sign in button[[ChromeDriver: chrome on WINDOWS (14c389bd38b772e567bebc4fed054884)] -> id: signInSubmit]
